Strain							cpeBA	mpeBA	Type
Synechococcus_sp._RCC307		Y		Y		III
Synechococcus_Lanier			Y		N		II
Synechococcus_Tous				Y		N		II
Synechococcus_sp._MW101C3		N		N		I
Synechococcus_sp._WH5701		N		N		I
Synechococcus_sp._1G10			Y		N		IIB
Cyanobium_sp._CACIAM14			N		N		I
Synechococcus_sp._BO8801		N		N		I
Cyanobium_gracile_PCC_6307		N		N		I
Vulcanococcus_limneticus_LL		Y		N		IIB
Synechococcus_sp._CB0205		Y		N		II
Synechococcus_sp._CB0101		N		N		I
Synechococcus_sp._GFB01			N		N		I
Cyanobium_sp._PCC_7001			N		N		I
Synechococcus_sp._8F6			Y		N		IIB
Cyanobium_sp._BaikalG2			N		N		I
Synechococcus_sp._WH7803		Y		Y		III
Synechococcus_sp._WH7805		Y		N		II
Cyanobium_sp._ARS6				N		Y		III?
Cyanobium_sp._MED195			N		N		I
Synechococcus_sp._CC9311		Y		Y		III
Synechococcus_sp._WH8016		Y		Y		III
Synechococcus_sp._RS9916		Y		Y		III
Synechococcus_sp._RS9917		N		N		I
Cyanobium_sp._MED843			N		N		I
Cyanobium_sp._RS427				N		N		I
Synechococcus_sp._WH8102		Y		Y		III
Synechococcus_sp._CC9605		Y		Y		III
Synechococcus_sp._WH8109		Y		Y		III
Cyanobium_sp._SAT1300			N		N		I
Synechococcus_sp._BL107			Y		Y		III
Synechococcus_sp._CC9902		Y		Y		III
